,Window_Velocity_Max,Mean_0,Mean_6,Mean_12,Mean_18,cgmTrend,FFT_1,FFT_2,FFT_3,FFT_4,FFT_5,FFT_6,FFT_7,FFT_8,acc1,acc2,acc3,acc4,Entropy
40,78.0,127.66666666666667,203.0,265.1666666666667,270.5,46.666666666666664,6120.0,454.37008507674415,454.37008507674415,147.8059015709422,147.8059015709422,113.02450435565314,113.02450435565314,90.65861655847509,1.8,1.2,-1.75,0.85,3.308777757587496
41,19.0,204.66666666666666,208.0,176.16666666666666,138.0,43.333333333333336,5487.0,822.3059514686274,822.3059514686274,362.50121846118697,362.50121846118697,209.15501274133575,209.15501274133575,182.68721208154838,3.35,-2.0,1.15,-1.45,3.308777757587496
42,23.0,315.6666666666667,278.5,223.33333333333334,192.33333333333334,46.666666666666664,3522.0,365.26749293268296,365.26749293268296,323.0660714334681,323.0660714334681,87.3892294773446,87.38922947734457,84.92349498224856,-0.85,-2.1,0.8,1.0,3.245126340758014
43,51.0,270.8333333333333,252.83333333333334,238.33333333333334,236.83333333333334,50.0,6720.0,1066.064117112885,1066.064117112885,241.62405337471083,241.6240533747108,115.57305848533538,115.57305848533538,99.8816223703392,-1.35,-1.85,1.4,-1.8,3.170148321475507
45,89.0,136.33333333333334,197.83333333333334,261.0,317.5,53.333333333333336,2490.0,339.4978465770679,339.49784657706783,166.72100275177092,166.72100275177092,124.19494573100576,124.19494573100576,112.10069692744781,1.75,2.95,-1.5,0.25,3.1989165287206847
46,29.0,282.6666666666667,303.8333333333333,303.0,268.0,40.0,5385.0,560.3796279994241,560.379627999424,342.4898268620547,342.4898268620547,130.66166289493373,130.66166289493373,117.86276778400799,3.0,-1.35,-0.7,-1.45,3.135265111891204
47,25.0,62.833333333333336,80.83333333333333,70.0,68.66666666666667,60.0,8533.0,668.2532259398567,668.2532259398567,346.25928181179404,346.25928181179404,266.2486743560098,266.2486743560098,100.62840400347356,0.75,0.35,-1.1,0.65,2.9216576564967065
48,66.0,130.0,151.83333333333334,195.16666666666666,181.16666666666666,53.333333333333336,2474.0,537.558657915378,537.5586579153779,110.57099911436173,110.57099911436171,93.02616706610824,93.02616706610823,64.15605972938177,-0.35,1.9,-2.15,-0.35,3.262567945550166
51,46.0,131.33333333333334,163.66666666666666,187.16666666666666,215.5,46.666666666666664,3205.0,271.5002425595493,271.5002425595493,97.6740010593941,97.6740010593941,59.152345684681016,59.152345684681,48.737978093260715,1.85,-3.45,2.7,-0.5,3.401197381662155
52,38.0,157.33333333333334,197.83333333333334,232.16666666666666,222.83333333333334,46.666666666666664,3569.0,321.6226805139439,321.6226805139439,184.8541517064512,184.85415170645118,176.2666419510506,176.26664195105053,48.58115255486119,2.65,-0.5,-0.3,-1.3,3.2163581335128364
53,13.0,231.83333333333334,205.66666666666666,185.83333333333334,170.16666666666666,50.0,3822.0,286.5743122857246,286.5743122857246,82.35562816472948,82.35562816472948,63.61386643835932,63.61386643835932,36.66684223814072,0.45,-1.35,0.9,0.2,3.1064969046460256
54,53.0,143.33333333333334,194.33333333333334,216.83333333333334,241.33333333333334,43.333333333333336,4751.0,270.58419737551463,270.58419737551463,198.6815595395817,198.6815595395817,114.89291370607111,114.89291370607111,80.74299769350098,1.9,-1.6,-0.75,0.8,3.308777757587496
55,66.0,99.66666666666667,133.66666666666666,121.33333333333333,144.83333333333334,40.0,4248.0,491.4281925016417,491.42819250164166,152.84711471231336,152.84711471231336,86.81360684143011,86.8136068414301,78.41051076244702,4.75,-5.25,1.15,0.85,3.308777757587496
56,97.0,214.5,281.5,266.6666666666667,217.5,43.333333333333336,2530.0,469.34058120832105,469.340581208321,191.80425728045057,191.80425728045054,76.33320468859371,76.3332046885937,61.22091146005585,0.65,-2.15,-2.35,-0.1,3.262567945550166
57,56.0,120.5,129.33333333333334,119.0,124.5,53.333333333333336,7602.0,857.3822152354961,857.382215235496,236.5477232796338,236.5477232796338,181.6084618895136,181.60846188951356,163.2182719630251,-0.1,2.0,-2.4,2.9,3.0602870926086956
58,90.0,82.83333333333333,99.0,62.5,86.83333333333333,50.0,4361.0,658.6396843591797,658.6396843591796,346.01704377914245,346.01704377914245,140.69014287287254,140.69014287287254,129.29423807734042,2.2,-3.1,-0.85,2.7,3.262567945550166
59,48.0,166.33333333333334,162.83333333333334,212.83333333333334,218.5,60.0,4915.0,249.98651258391422,249.9865125839142,242.42628893721172,242.4262889372117,136.19028439211118,136.19028439211118,29.866369046136157,-1.75,1.05,-0.8,-3.0,3.2163581335128364
60,75.0,305.0,301.6666666666667,245.83333333333334,239.83333333333334,43.333333333333336,5719.0,693.2239690719098,693.2239690719098,217.7615402881549,217.76154028815486,107.5784384851328,107.5784384851328,93.3869030995832,-1.0,1.5,-2.35,1.15,3.2163581335128364
61,46.0,45.333333333333336,72.5,96.66666666666667,117.0,46.666666666666664,6725.0,455.30345730636105,455.30345730636105,290.53449554805263,290.5344955480526,200.42435241518035,200.42435241518035,86.75828490697589,1.15,2.15,-2.2,2.05,3.308777757587496
62,73.0,124.66666666666667,103.83333333333333,120.5,175.5,70.0,4776.0,555.1469767351475,555.1469767351475,160.45039768581145,160.45039768581142,104.70229034771828,104.70229034771828,76.03760249759343,-0.65,-0.4,1.1,2.4,3.1064969046460256
63,91.0,102.66666666666667,190.66666666666666,192.0,132.33333333333334,53.333333333333336,8293.0,1640.6643945007756,1640.6643945007754,383.1057618111659,383.1057618111659,313.14201196339377,313.1420119633937,298.0675065225244,4.65,-2.35,-5.2,1.2,3.3549875696248255
64,36.0,121.66666666666667,115.5,100.5,90.66666666666667,46.666666666666664,6198.0,979.0778592093109,979.0778592093108,354.06381895253185,354.06381895253185,137.9601391707039,137.9601391707039,115.93149972392936,1.15,-1.3,-0.5,0.75,3.014077280571366
65,27.0,110.0,115.33333333333333,131.0,148.16666666666666,53.333333333333336,7431.0,1758.0184647141866,1758.0184647141866,836.2166065557411,836.2166065557409,508.906968407592,508.9069684075918,395.15954607224677,-1.55,1.8,-0.9,1.45,3.060287092608696
66,25.0,140.0,111.33333333333333,113.0,131.83333333333334,50.0,5224.0,1638.6299938205486,1638.6299938205486,801.3794770325791,801.379477032579,461.43747249281614,461.43747249281614,434.5250280478673,-2.35,1.3,0.05,0.95,2.9216576564967065
68,40.0,161.33333333333334,172.83333333333334,165.0,166.66666666666666,33.33333333333333,3511.0,159.38552813027,159.38552813027,143.22780606772494,143.2278060677249,117.12248318941316,117.12248318941316,53.842362503887216,-0.2,-0.75,0.2,0.8,2.8867744469124035
70,55.0,172.83333333333334,163.0,131.0,121.16666666666667,50.0,4147.0,236.50712049418854,236.50712049418854,204.84974359416836,204.84974359416833,36.1250189532815,36.12501895328148,26.000000000000007,-1.6,-2.15,-0.25,2.3,3.2163581335128364
71,34.0,69.83333333333333,94.0,113.33333333333333,98.0,36.666666666666664,4463.0,727.7651352528391,727.7651352528391,166.58448734886633,166.5844873488663,106.0138493228812,106.01384932288119,98.84763016165213,1.05,-1.35,2.0,-3.5,3.170148321475507
72,50.0,204.33333333333334,251.0,289.8333333333333,314.1666666666667,50.0,5487.0,780.4336049477788,780.4336049477788,64.28564230018095,64.28564230018095,63.203591119063056,63.203591119063056,45.738386504117095,1.2,0.3,-0.25,0.4,3.262567945550166
73,65.0,100.66666666666667,160.16666666666666,166.66666666666666,193.83333333333334,43.333333333333336,4488.0,1131.7277898403654,1131.7277898403652,184.81506712932966,184.81506712932963,162.57005965043373,162.5700596504337,110.37914417354663,3.85,-1.8,-1.85,1.1,3.308777757587496
74,64.0,145.0,183.16666666666666,172.5,164.33333333333334,43.333333333333336,6402.0,81.81213106437424,81.81213106437424,70.62801682774442,70.62801682774442,43.575886396642886,43.575886396642886,22.577232105541132,4.35,-3.85,0.35,0.25,3.0602870926086956
75,55.0,157.5,211.5,222.83333333333334,218.5,40.0,6893.0,1068.2048705495229,1068.2048705495229,228.86025505305682,228.86025505305673,225.64388700304525,225.64388700304522,123.59611644384296,3.45,-1.95,-2.35,1.5,3.1064969046460256
76,25.0,250.83333333333334,216.16666666666666,218.33333333333334,180.83333333333334,50.0,4983.0,772.34947622665,772.3494762266498,224.56291770237868,224.56291770237866,178.6278214375465,178.6278214375465,95.47562098357704,-0.5,-1.0,1.7,-1.45,3.152706716683355
77,73.0,138.83333333333334,190.0,188.0,146.33333333333334,53.333333333333336,5293.0,660.7744790135133,660.7744790135133,217.73346703187426,217.73346703187426,188.99900570169567,188.99900570169564,182.23513239732995,5.45,-4.75,0.4,-1.05,3.170148321475507
78,51.0,362.3333333333333,334.0,230.5,140.16666666666666,36.666666666666664,8262.0,1532.676480664319,1532.676480664319,562.2196363326747,562.2196363326747,494.9180193587124,494.9180193587123,322.0419227367766,-0.95,-2.55,-1.55,0.95,3.308777757587496
80,87.0,157.0,235.16666666666666,251.33333333333334,251.66666666666666,40.0,7770.0,1163.8273485570078,1163.8273485570078,512.5660114862044,512.5660114862044,405.13253089483817,405.1325308948381,316.85264658462046,4.3,-2.6,0.45,-2.55,3.262567945550166
81,-2.0,329.5,256.5,179.66666666666666,99.0,50.0,7160.0,1484.8078860047056,1484.8078860047056,341.6976763854378,341.6976763854377,265.3083389643705,265.30833896437036,191.03141102970483,-0.35,-0.65,-0.85,0.85,3.401197381662155
82,104.0,87.66666666666667,194.33333333333334,237.33333333333334,302.6666666666667,43.333333333333336,4790.0,986.4874600763999,986.4874600763999,274.54127134657136,274.54127134657136,269.356901160748,269.35690116074795,216.2136297274261,4.6,-1.95,0.5,-1.9,3.2163581335128364
83,123.0,234.0,298.0,335.6666666666667,355.8333333333333,50.0,5955.0,465.2488061660531,465.2488061660531,128.98599047439893,128.98599047439893,113.78992952084488,113.78992952084488,105.63859926427604,-0.25,8.05,-7.5,0.5,3.245126340758014
