,Date_Time,Diff
27547,2017-10-03 05:59:20,-3.861111111111111
27510,2017-10-03 09:51:00,-5.29
27453,2017-10-03 15:08:24,-3.5633333333333335
27411,2017-10-03 18:42:12,-11.387777777777778
27290,2017-10-04 06:05:28,-7.186388888888889
27210,2017-10-04 13:16:39,-10.495277777777778
27101,2017-10-04 23:46:22,-9.778055555555556
27017,2017-10-05 09:33:03,-3.647222222222222
26987,2017-10-05 13:11:53,-6.481111111111111
26932,2017-10-05 19:40:45,-14.878333333333334
26772,2017-10-06 10:33:27,-3.855
26736,2017-10-06 14:24:45,-27.843611111111112
26513,2017-10-07 18:15:22,-6.221388888888889
26464,2017-10-08 00:28:39,-11.901111111111112
26392,2017-10-08 12:22:43,-6.768055555555556
26320,2017-10-08 19:08:48,-14.481388888888889
26185,2017-10-09 09:37:41,-5.851666666666667
26134,2017-10-09 15:28:47,-2.511111111111111
26115,2017-10-09 17:59:27,-11.914444444444445
26021,2017-10-10 05:54:19,-3.4972222222222222
25983,2017-10-10 09:24:09,-6.804444444444444
25937,2017-10-10 16:12:25,-2.101666666666667
25914,2017-10-10 18:18:31,-11.5075
25826,2017-10-11 05:48:58,-4.645833333333333
25786,2017-10-11 10:27:43,-3.7255555555555557
25716,2017-10-11 14:11:15,-2.2461111111111114
25710,2017-10-11 16:26:01,-19.166666666666668
25474,2017-10-12 11:36:01,-2.801388888888889
25455,2017-10-12 14:24:06,-18.26527777777778
25302,2017-10-13 08:40:01,-4.048055555555556
25260,2017-10-13 12:42:54,-7.203055555555555
25183,2017-10-13 19:55:05,-11.526666666666667
25095,2017-10-14 07:26:41,-2.3630555555555555
25073,2017-10-14 09:48:28,-6.665555555555556
24997,2017-10-14 16:28:24,-5.721388888888889
24931,2017-10-14 22:11:41,-11.464722222222223
24855,2017-10-15 09:39:34,-4.998055555555555
24822,2017-10-15 14:39:27,-3.4811111111111113
24799,2017-10-15 18:08:19,-15.389166666666666
24660,2017-10-16 09:31:40,-4.582222222222223
24608,2017-10-16 14:06:36,-4.038888888888889
24565,2017-10-16 18:08:56,-14.379444444444445
24459,2017-10-17 08:31:42,-5.006388888888889
24409,2017-10-17 13:32:05,-2.2094444444444448
24401,2017-10-17 15:44:39,-2.1813888888888893
24378,2017-10-17 17:55:32,-15.352777777777778
24278,2017-10-18 09:16:42,-5.215277777777778
24228,2017-10-18 14:29:37,-3.3983333333333334
24178,2017-10-18 17:53:31,-16.69805555555556
24037,2017-10-19 10:35:24,-6.798333333333333
23938,2017-10-19 17:23:18,-5.570833333333334
23866,2017-10-19 22:57:33,-6.858055555555556
23805,2017-10-20 05:49:02,-3.2169444444444446
23779,2017-10-20 09:02:03,-4.052777777777778
23756,2017-10-20 13:05:13,-7.979444444444445
23673,2017-10-20 21:03:59,-12.375
23559,2017-10-21 09:26:29,-5.511111111111111
23505,2017-10-21 14:57:09,-6.68
23445,2017-10-21 21:37:57,-11.627222222222223
23369,2017-10-22 09:15:35,-6.913333333333333
23313,2017-10-22 16:10:23,-13.613055555555556
23209,2017-10-23 05:47:10,-3.6725
23154,2017-10-23 09:27:31,-5.458888888888889
23138,2017-10-23 14:55:03,-2.803611111111111
23108,2017-10-23 17:43:16,-15.615
22991,2017-10-24 09:20:10,-4.054444444444444
22960,2017-10-24 13:23:26,-5.656944444444444
22914,2017-10-24 19:02:51,-14.522777777777778
22773,2017-10-25 09:34:13,-4.7575
22687,2017-10-25 14:19:40,-4.986666666666666
22658,2017-10-25 19:18:52,-4.711666666666667
22617,2017-10-26 00:01:34,-6.991944444444444
22585,2017-10-26 07:01:05,-2.606388888888889
22568,2017-10-26 09:37:28,-4.269444444444445
22508,2017-10-26 13:53:38,-6.271944444444444
22458,2017-10-26 20:09:57,-13.200277777777778
22303,2017-10-27 09:21:58,-3.0902777777777777
22290,2017-10-27 12:27:23,-10.363888888888889
22203,2017-10-27 22:49:13,-2.172777777777778
22167,2017-10-28 00:59:35,-11.87888888888889
22056,2017-10-28 12:52:19,-6.194444444444445
21979,2017-10-28 19:03:59,-4.941666666666666
21900,2017-10-29 00:00:29,-9.940277777777778
21849,2017-10-29 09:56:54,-3.8827777777777777
21826,2017-10-29 13:49:52,-4.536111111111111
21791,2017-10-29 18:22:02,-15.12138888888889
21633,2017-10-30 09:29:19,-4.301666666666667
21601,2017-10-30 13:47:25,-3.8961111111111113
21580,2017-10-30 17:41:11,-13.141111111111112
21463,2017-10-31 06:49:39,-2.9741666666666666
21426,2017-10-31 09:48:06,-8.142222222222223
21376,2017-10-31 17:56:38,-15.692777777777778
21240,2017-11-01 09:38:12,-2.700277777777778
21230,2017-11-01 12:20:13,-5.5375
21167,2017-11-01 17:52:28,-13.289444444444445
21066,2017-11-02 07:09:50,-2.365
21035,2017-11-02 09:31:44,-3.9725
21028,2017-11-02 13:30:05,-2.4719444444444445
20994,2017-11-02 15:58:24,-17.967222222222226
20743,2017-11-03 09:56:26,-2.962222222222222
20717,2017-11-03 12:54:10,-3.216666666666667
20696,2017-11-03 16:07:10,-18.71
20548,2017-11-04 10:49:46,-3.075833333333333
20491,2017-11-04 13:54:19,-4.911944444444444
20411,2017-11-04 18:49:02,-16.25166666666667
20246,2017-11-05 11:04:08,-7.9527777777777775
20168,2017-11-05 19:01:18,-10.910277777777777
20061,2017-11-06 05:55:55,-7.5761111111111115
19999,2017-11-06 13:30:29,-16.83638888888889
19787,2017-11-07 06:20:40,-3.418888888888889
19760,2017-11-07 09:45:48,-4.684444444444445
19722,2017-11-07 14:26:52,-3.3580555555555556
19702,2017-11-07 17:48:21,-4.545833333333334
19628,2017-11-07 22:21:06,-10.931944444444444
19520,2017-11-08 09:17:01,-3.1994444444444445
19486,2017-11-08 12:28:59,-6.856388888888889
19443,2017-11-08 19:20:22,-10.50361111111111
19342,2017-11-09 05:50:35,-3.325277777777778
19317,2017-11-09 09:10:06,-6.498611111111111
19235,2017-11-09 15:40:01,-13.838055555555556
19081,2017-11-10 05:30:18,-4.099166666666667
19057,2017-11-10 09:36:15,-8.560833333333335
19003,2017-11-10 18:09:54,-18.495833333333334
18823,2017-11-11 12:39:39,-5.210833333333333
18788,2017-11-11 17:52:18,-2.8536111111111113
18766,2017-11-11 20:43:31,-17.695555555555558
18626,2017-11-12 14:25:15,-4.355
18588,2017-11-12 18:46:33,-4.851944444444444
18564,2017-11-12 23:37:40,-6.007777777777778
18502,2017-11-13 05:38:08,-3.6655555555555557
18480,2017-11-13 09:18:04,-4.6113888888888885
18425,2017-11-13 13:54:45,-4.999722222222222
18377,2017-11-13 18:54:44,-14.690833333333334
18263,2017-11-14 09:36:11,-3.4544444444444444
18206,2017-11-14 13:03:27,-20.29277777777778
18019,2017-11-15 09:21:01,-2.945
18002,2017-11-15 12:17:43,-5.636666666666667
17990,2017-11-15 17:55:55,-2.3408333333333333
17979,2017-11-15 20:16:22,-13.276666666666667
17859,2017-11-16 09:32:58,-3.8177777777777777
17840,2017-11-16 13:22:02,-5.504444444444444
17777,2017-11-16 18:52:18,-14.998611111111112
17620,2017-11-17 09:52:13,-4.240833333333334
17590,2017-11-17 14:06:40,-20.586111111111112
17448,2017-11-18 10:41:50,-3.953333333333333
17423,2017-11-18 14:39:02,-3.382222222222222
17380,2017-11-18 18:01:58,-18.876944444444444
17208,2017-11-19 12:54:35,-5.063611111111111
17173,2017-11-19 17:58:24,-12.300277777777778
17053,2017-11-20 06:16:25,-3.0791666666666666
17023,2017-11-20 09:21:10,-5.675277777777778
16988,2017-11-20 15:01:41,-18.86138888888889
16812,2017-11-21 09:53:22,-3.9163888888888887
16776,2017-11-21 13:48:21,-4.188611111111111
16726,2017-11-21 17:59:40,-15.365833333333333
16589,2017-11-22 09:21:37,-2.8855555555555554
16578,2017-11-22 12:14:45,-14.256944444444445
